NCTId,Condition,Brief Title,Completion Date,Intervention Name,Phase,Enrollment,Primary Outcome,Secondary Outcome,Study Type,Lead Sponsor,Eligibility,Location,Study First Post Date
NCT04636996,"Coronary Heart Disease, Artificial Intelligence, Sleep Apnea",Effects of AI Assisted Follow-up Strategy on Secondary Prevention in CABG Patients,2022-12-31,artificial intelligence assisted follow-up,Not Applicable,200,The average heart rate during the first 35 days postoperatively,"It includes duration of falling asleep, light sleep, and deep sleep period, The average pulse oxygen saturation during the sleep will be evaluated by the sleep monitor device automatically., The pulse oxygen saturation during the sleep will be recorded by the sleep monitor device and the minimum pulse oxygen saturation will be analyzed., It will be evaluated with the visual analogue scale from 0 to 10. Zero is the lowest level of pain and 10 is the highest level of pain., It will be evaluated with Morisky Medication Adherence Scale (MMAS-4). The patients will receive four questions, which are answered by Yes or No ((Yes=0 and No=1) through the scoring system. Zero is the lowest level of medication adherence and 4 is the highest level of medication adherence., It is defined as re-admission between discharge to 35 days after surgery., refers to the incidence of death from the day of surgery to the end of the trial, regardless of the cause., It refers to the total medical expenses for CABG surgery and the following follow-up process.",Interventional,,"Inclusion Criteria:

Age between 18-70, male or female
Received isolated CABG procedure due to coronary artery disease
Having a smartphone and are willing to cooperate
Signing written informed consent

Exclusion Criteria:

Patients undergoing CABG + valve replacement surgery
Postoperative hospital stays more than 10 days (Due to limited postoperative follow-up time and unstable condition such as incision infection, angina, etc.)
Patients with lung, liver, and kidney failure (Due to organ dysfunction which needs more professional health care and not suitable for this trial)
Patients with Urinary system diseases (Getting up during sleep, which will interfere with sleep monitoring)
Patients mentally or legally disabled
Breastfeeding or pregnant women
End-stage disease, estimated survival time is less than 3 months
Participate in other perioperative intervention studies at the same time",China,2020-11-19
NCT05981950,"Artificial Intelligence, Retinal Diseases",Real-world of AI in Diagnosing Retinal Diseases,2029-08-01,artificial intelligence algorithm,Unaddressed,100000,"We used the receiver operating characteristic (ROC) curve and area under curve to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used sensitivity and specificity to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used positive predictive value and negative predictive value to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used F1 score to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases.",,Observational,,"Inclusion Criteria:

fundus photography around 45° field which covers optic disc and macula
complete identification information

Exclusion Criteria:

insufficient information for diagnosis",China,2023-08-08
NCT05513638,the Application of Artificial Intelligence in the Diagnosis of Prostate Cancer,Artificial Intelligence-Based Computer-Aided Diagnosis of Prostate Cancer,2026-08-22,the clinical use of artificial intelligence in the diagnosis of prostate cancer,Unaddressed,2000,"Biopsy or surgery confirmed newly-diagnosed prostate cancer and clinically significant prostate cancer will serve as our primary outcome. Details of follow up and disease progression for a period of two years following mp-MRI will also be collected. For patients with no suspicious lesions on mp-MRI or biopsy-negative, follow-up prostatic specific antigen for a period of two years will also be collected.","surgery confirmed T and N staging of prostate cancer, positive rate of prostate biopsy in each arm, The total reviewing time of radiologists will be measured in this aim. The reviewing time will be defined as the time from initiation of interpretating prostate mp-MRI to the time the radiologists finish reviewing and assigning a PI-RADS score.",Observational,,"Inclusion Criteria:

Clinical suspicious of prostate cancer, presenting with an elevated prostatic specific antigen and/or abnormal digital rectal examination

Exclusion Criteria:

(1) <60 years of age; (2) a previous surgery, radiotherapy or drug therapy for prostate cancer (interventions for benign prostatic hyperplasia or bladder outflow obstruction were deemed acceptable); (3) incomplete mp-MRI examination or artifacts of the images.",China,2022-08-24
NCT04294355,"Colon Adenoma, Colon Polyp",Artificial Intelligence-assisted Colonoscopy on Detection of Missed Proximal Lesions,2022-04-15,"Artificial intelligence-Assisted colonoscopy, Conventional colonoscopy",Not Applicable,216,The proportion of patients with missed adenomas detected in the second examination only,"The proportion of patients with missed adenomas detected in the second examination only, The proportion of patients with at least one adenoma, The proportion of patients with at least one polyp",Interventional,,"Inclusion Criteria:

All adult patients, aged 40 or above, undergoing outpatient colonoscopy in the participating centers will be recruited

Exclusion Criteria:

history of inflammatory bowel disease
history of colorectal cancer
previous bowel resection (apart from appendectomy)
Peutz-Jeghers syndrome, familial adenomatous polyposis or other polyposis syndromes
bleeding tendency or severe comorbid illnesses for which polypectomy is considered unsafe.","China, Singapore, Vietnam",2020-03-04
NCT04138771,"Cataract, Postoperative Complications, Artificial Intelligence",Validation of an Artificial Intelligence System for Postoperative Management of Cataract Patients,2020-03-01,An artificial intelligence system for postoperative management of cataract patients,Not Applicable,300,,,Interventional,,"Inclusion Criteria:

Patients who had surgery of cataract extraction combined with introcular lens implantation.
Patients should be aware of the contents and signed for the informed consent.",China,2019-10-24
NCT05807737,Ultrasound Imaging,A Study to Assess the Accuracy of Artificial Intelligence for Ultrasound-guided Regional Anesthesia,2020-11-15,Ultrasound scanning with artificial intelligence,Unaddressed,40,Residents will scan the 40 volunteers (20 male and 20 female) using the artificial intelligence software until obtaining 100% scan success which means all region-related key anatomical landmarks are identified and color-overlayed correctly. The accuracy of key anatomical landmarks will be evaluated by 2 independent experts in the field of regional anesthesia.,"During the scanning, the volunteer's body mass index, gender, and age information will be collected. The accuracy of artificial intelligence software will be evaluated with the collected demographic information in order to learn the difference in accuracy.",Observational,,"Inclusion Criteria:

Volunteers over the age of 18
Able to accept and sign the Informed Consent Form before participating in the study

Exclusion Criteria:

Volunteers below the age of 18
Unwilling to accept or having psychiatric/neurological diseases to sign an Informed Consent Form before participating in the study
Inability to lie flat
Anatomical deformity in the selected regions",Turkey,2023-04-11
NCT04126265,"Artificial Intelligence, Colonoscopy",Artificial Intelligence-assisted Colonoscopy for Detection of Colon Polyps,2020-08-31,Artificial intelligence assisted colonoscopy,Not Applicable,560,"In each group, the number of patients with small polyps was detected as a percentage of the total number of patients.","Number of polyps found in each group., Average size of all polyps detected in each group., Morphological classification of all polyps detected in each group.",Interventional,,"Inclusion Criteria:

Chinese population aged 18-80 years old; Patients voluntarily signed informed consent form; In accordance with the indications of colonoscopy.

Exclusion Criteria:

(IBD) history of inflammatory bowel disease; History of colorectal surgery; Previous failed colonoscopy; Polyposis syndrome; Highly suspected colorectal cancer (CRC)",China,2019-10-15
NCT04289064,"Retinal Diseases, Artificial Intelligence",Artificial Intelligence System for Assessing Image Quality of Fundus Images and Its Effects on Diagnosis,2020-07-01,Taking a fundus image,Unaddressed,300,"Area under the receiver operating characteristic curves, sensitivity, specificity, positive and negative predictive values, accuracy","Cohen's kappa coefficient, P value and other related statistic results",Observational,,"Inclusion Criteria:

Patients should be aware of the contents and signed for the informed consent.

Exclusion Criteria:

1. Patients who cannot cooperate with a photographer such as some paralytics, the patients with dementia and severe psychopaths.
2. Patients who do not agree to sign informed consent.",China,2020-02-28
NCT04314180,"Anterior Segment Disorders, Artificial Intelligence",Artificial Intelligence System for Assessing Image Quality of Slit-Lamp Images and Its Effects on Diagnosis,2020-07-01,Taking slit-lamp images,Unaddressed,300,"Area under the receiver operating characteristic curves, sensitivity, specificity, positive and negative predictive values,accuracy","Cohen's kappa coefficient, P value and other related statistic results",Observational,,"Inclusion Criteria:

Patients should be aware of the contents and signed for the informed consent.

Exclusion Criteria:

1. Patients who cannot cooperate with a photographer such as some paralytics, the patients with dementia and severe psychopaths.
2. Patients who do not agree to sign informed consent.",China,2020-03-19
NCT04442607,Polyp of Colon,Clinical vAliDation of ARTificial Intelligence in POlyp Detection,2022-11-29,artificial intelligence image processing,Not Applicable,856,,,Interventional,,"Inclusion Criteria:

Age ≥40 years
Referral for screening, surveillance or diagnostic colonoscopy
Able to give informed consent by the patient or by a legal representative

Exclusion criteria for study inclusion

<40 years old
Referral for a therapeutic colonoscopy
Known Lynch syndrome or Familial Adenomatous Polyposis syndrome
Any contraindication for colonoscopy or biopsies of the colon
Uncontrolled coagulopathy
Confirmed diagnosis of inflammatory bowel disease prior to the scheduled colonoscopy
Short bowel or ileostomy
Pregnancy

Exclusion criteria for study analysis

Colonic inflammation of > 30cm during colonoscopy
Incomplete colonoscopy for any reason
Incomplete recording or technical failure of the artificial intelligence system",Belgium,2020-06-22
NCT04515173,"Artificial Intelligence, Mental Illness",Artificial Intelligence in Mental Illness Diagnosis and Treatment,2023-12-01,Artificial intelligence diagnosis and treatment assistance system,Not Applicable,4000,"The proportion that the system correctly determines people who are actually sick to be true., The proportion that the system correctly determines people who are actually disease-free to be true negative., End of the period reached the total number of clinically cured patients / total number of all patients involved in the study, Total number of patients with recurrence or recurrence of symptoms/total number of patients involved in the study","The degree of patient satisfaction with the system, The score of clinical global impressions scale(CGI), The score of social disability screening schedule(SDSS）, The degree of doctors' satisfaction with the system",Interventional,,"Inclusion Criteria:

Community high-risk groups and institutional groups.
According to the ICD-11 diagnostic guidelines of anxiety-related disorders, depression-related disorders, addiction-related disorders, compulsive-related disorders diagnosis,
age 18-60 years old,
skilled in the operation of computers or smartphones,
language, reading ability is normal,
willing to participate in the project and sign informed consent study.

Exclusion Criteria:

The symptoms of mental illness are severe and require hospitalization, or the patient is unable to complete the required assessment examination and treatment.
Those who have a higher risk of self-injury or suicide.
People with severe physical illness, central system disease, or substance abuse.
Receive physical therapy at the same time.",,2020-08-17
NCT05178095,"Polyp of Colon, Adenoma Colon, Gastrointestinal Neoplasms",Artificial Intelligence in Colonic Polyp Detection,2023-06-01,"Artificial intelligence, No Artificial Intelligence",Not Applicable,250,Adenoma detection rate,"Adenomas per colonoscopy, The number of minutes required to complete the colonoscopy withdrawal",Interventional,,"Inclusion Criteria:

All patients without IBD referred for colonoscopy

Exclusion Criteria:

Age < 40 years
Not willing to participate",Sweden,2022-01-05
NCT03917017,Liver Resection,The Evaluation of Surgical Decisions and Prognosis of the Radiomics and Watson Artificial Intelligence in Patients With Hepatocellular Carcinoma,2024-12-31,Radiomics and Watson artificial intelligence,Not Applicable,100,Survival after hepatectomy,Survival time without tumor after HCC resection,Interventional,,"Inclusion Criteria:

18 years≤ Age ≤80 years
Compling with the diagnosis criteria of complex hepatic carcinoma.
Primary hepatic carcinoma without intrahepatic or extrahepatic extensive cancer metastasis, the metastatic hepatic carcinoma whose primary focal has been controlled
Preoperative liver function is Child - Pugh grade A or B.
The patients are volunteered for the study.

Exclusion Criteria:

Patients with mental illness.
Patients can't tolerate the operation owe to a variety of basic diseases (such as severe cardiopulmonary insufficiency, renal insufficiency, cachexia and blood system diseases, etc.)
The patients refused to take part in the study.
There are other co-existed malignant tumors.
Benign liver diseases.
Indocyanine green allergy",China,2019-04-16
NCT04425941,Software Analysis on Polyp Histology Prediction,Polyp Artificial Intelligence Study,2020-05-31,artificial intelligence diagnosis,Unaddressed,373,Artificial intelligence software diagnosis in comparison with the polyp histology,,Observational,,"Inclusion Criteria:

endoscopic diagnosis of colorectal polyp

Exclusion Criteria:

colonoscopy result without polyps or IBD diagnosis",,2020-06-11
NCT05244278,Artificial Intelligence,Artificial Intelligence (AI) Assisted Real-time Adenoma Detection During Colonoscopies,2025-01-01,Detection and classification of polyps by Artificial Intelligence Medtronic-GI genius,Not Applicable,744,"To assess whether the GI genius platform can significantly increase the ADR during live colonoscopies, compared to standard colonoscopy among high-risk patients.The ADR is defined as the proportion of patients undergoing GI genius-assisted/standard colonoscopy in whom superior or equal to 1 histopathologically proven adenoma or carcinoma is identified. We will use the histopathology outcomes of the resected polyps as the ground truth to calculate the ADR.","The probability of an increase in the ADR among the trainees and expert endoscopists when using GI genius AI-assisted colonoscopy compared to standard colonoscopies., Proximal ADR is defined as the prevalence of patients with at least 1 adenoma detected proximal to the splenic flexure, Sessile serrated lesions (SSL) detection rate as the proportion of patients colonoscopy in whom superior or equal to 1 sessile serrated lesion (SSL) is identified, Mean number of adenomas per colonoscopy (APC) defined as the total number of adenomas divided by the number of colonoscopies performed, Adenomas per positive index colonoscopy (APPC) defined as the total number of adenomas divided by the total of colonoscopies where at least 1 adenoma is detected, Sessile serrated lesion per Colonoscopy (SSLPC), defined as the total number of histologically confirmed sessile serrated lesions resected divided by the total number of colonoscopies, Advanced lesion detection rate (ALDR), defined as the proportion of colonoscopies for which the number of histopathologically proven adenoma >10mm was at least 1., To evaluate the agreement between the surveillance intervals based on the optical diagnosis of polyps with the GI genius and the pathology-based recommendation according to the current guidelines., Proportion neoplastic and non-neoplastic polyps (i.e., SSLs, hyperplastic polyps, and high-grade dysplasia and carcinomas (overall and according to size, location, and morphology), CADe utilization rate (when available in the room). Since we can't directly assess the CADe utilization rate without revealing the ongoing trial to the endoscopists, we will rely on two voluntary self-reported measures and a partial objective measure.",Interventional,,"Inclusion Criteria:

indication of undergoing a screening, surveillance, or diagnostic colonoscopy
Age 45-89 years

Exclusion Criteria:

Patients undergoing emergency colonoscopy and patients with a known familial polyposis syndrome or a known inflammatory bowel disease",Canada,2022-02-17
NCT04682821,"Gastroscopy, Training, Artificial Intelligence",The Research of AI Assistant Gastroscope Training,2021-06-26,Artificial intelligence assistant system,Not Applicable,288,"Using a professional gastroscopy operation scoring scale, the full score is 100 points, and the score is divided into small items. In this experiment, the effect of training between the two groups was compared by comparing the scores of gastroscopy operation in the experimental group and the control group.","Evaluate the gastroscope operation videos retained by each physician during the examination, and calculate the coverage of 26 parts of the gastric mucosa in the experimental group and the control group during the examination. The calculation method is: the coverage rate of the blind area of the gastroscopy = the actual number of parts covered by the examination/26 parts of the stomach x 100%., the difference between the theoretical test score after the training and the theoretical test score before the training, the calculation method: the theoretical test score after the training-the theoretical test score before the training., An AI assistant group fills out a questionnaire after training, and determines the satisfaction with AI assistant training through a grading method., the detection rate of lesions in the experimental group and the control group by gastroscopy. Calculation method = number of gastroscopes with detected lesions/total number of gastroscopes completed by beginner physicians x 100%.",Interventional,,"Novice endoscopists：

Inclusion Criteria:

Males or females who are over 18 years old;
After qualified medical education and obtained the Certificate of Chinese medical practitioner;

Exclusion Criterial:

A doctor who has already been trained in gastroenteroscopy;
Doctors without qualified medical education and didn't obtaine the Certificate of Chinese medical practitioner;
The researcher believes that the subjects are not suitable for participating in clinical trials.",China,2020-12-24
NCT04186104,"Artificial Intelligence, Outpatient",Artificial Intelligence in Children's Clinic,2021-06-29,"Routine diagnostic process, Artificial intelligence assisted diagnosis process",Not Applicable,626,Compare the average waiting time for single patient and average visiting time for single patient.,"The satisfaction questionnaire would be used to compare the rate of satisfaction between the two processes., Spend money of outpatient, spend money of examination et al., Using historical data for before-and-after comparisons, to compare the influence of intelligent medical history collection on the visit time of each patient.",Interventional,,"Inclusion Criteria:

Patients aged 2 months to 18 years old and will go to Shanghai children's medical center for treatment.

Exclusion Criteria:

People who don't agree to participate.
People who can't cooperate.
People who are difficult to follow up.","China, China",2019-12-04
NCT06079450,Diabetes,Effect of Artıfıcıal Intellıgence Based Mobıle Vırtual Assıstant,2023-08-07,artificial intelligence based mobile application,Unaddressed,1,"The score consists of 35 items and is a 4-point Likert type, the lowest acceptable score is 92 and the highest score is 140. As the score increases, self-care increases, The scale consists of 9 items and is a 4-point Likert type. There is no cut-off value, the average score is used.",percentage,Observational,,"Inclusion Criteria:

Having been diagnosed with Type 1 and Type 2 diabetes at least six months ago, according to the criteria of the American Diabetes Association (ADA),
Using insulin for at least six months,
Being between the ages of 18- 65,
Being able to read and write and speak Turkish,
Having an Android phone and being able to use mobile applications,
To volunteer to participate in the study.

Exclusion Criteria:",Turkey,2023-10-12
NCT05166122,"Diabetic Retinopathy, Artificial Intelligence, Screening",Implementation of an Integrated System of Artificial Intelligence and Referral Tracking for Real-time Diabetic Retinopathy Screening,2022-09-30,Artificial Intelligence,Not Applicable,1600,"Total number of patients who completed referral visit in each arm (ie, presented to tertiary eye care center)","Assessment of staff satisfaction with workflows and patient experience in each arm, Assess the number of patients who successfully completed screening in a given day in the AI versus manual arm, Confirm sensitivity and specificity of AI reading as demonstrated in previous prospective study (THAIGER, TCTR20190902002)",Interventional,,"Inclusion Criteria:

Patients aged 18 years and over.
Patients who have been screened for diabetic retinopathy at Uthai Hospital Phra Nakhon Sri Ayutthaya Province that can refer patients to Phra Nakhon Sri Ayutthaya Hospital to see an ophthalmologist
People with diabetes who are listed on the civil registry
Able to take pictures of the retina at least 1 eye.

Exclusion Criteria:

Being a patient in a community hospital with an in-house ophthalmologist
Patients who were previously diagnosed for the following conditions / diseases: retinal edema, diabetic retinopathy (NPDR, PDR). The retina is affected by radiation (Radiation retinopathy) or retinal vein blockage (RVO).
Past history of laser retinal treatment or retinal surgery
Having other eye diseases (non-diabetic retinopathy) that requires referral to an ophthalmologist.
Inability to take pictures of the retina (for any reason)",Thailand,2021-12-21
NCT04271657,Rectal Cancer,RadioPathomics Artificial Intelligence Model to Predict nCRT Response in Locally Advanced Rectal Cancer,2020-12-30,,Unaddressed,100,The area under curve (AUC) of Receiver Operating Characteristic (ROC) curves of the radiopathomics artificial intelligence model for identifying pCR candidates from non-pCR individuals among nCRT treated LARC patients will be calculated.,"The specificity of the radiopathomics artificial intelligence model for identifying pCR candidates from non-pCR individuals among nCRT treated LARC patients will be calculated., The sensitivity of the radiopathomics artificial intelligence model for identifying pCR candidates from non-pCR individuals among nCRT treated LARC patients will be calculated.",Observational,,"Inclusion Criteria:

pathologically diagnosed as rectal adenocarcinoma
defined as clinical II-III staging (≥T3, and/or positive nodal status) without distant metastasis by enhanced Magnetic Resonance Imaging (MRI)
intending to receive or undergoing neoadjuvant concurrent chemoradiotherapy (5-fluorouracil based chemotherapy, given orally or intravenously; Intensity-Modulated Radiotherapy or Volume-Modulated Radiotherapy delivered at 50 gray (Gy) in gross tumor volume (GTV) and 45 Gy in clinical target volume (CTV) by 25 fractions)
intending to receive total mesorectum excision (TME) surgery after neoadjuvant therapy (not completed at the enrollment), and adjuvant chemotherapy
MRI (high-solution T2-weighted imaging, contrast-enhanced T1-weighted imaging, and diffusion-weighted imaging are required) examination is completed before the neoadjuvant chemoradiotherapy
biopsy H&E stained slides are available and scanned with high resolution before the neoadjuvant chemoradiotherapy

Exclusion Criteria:

with history of other cancer
insufficient imaging quality of MRI to delineate tumor volume or obtain measurements (e.g., lack of sequence, motion artifacts)
insufficient imaging quality of biopsy slides imaging to delineate tumor volume or obtain measurements (e.g., tissue dissection, color anomaly)
incomplete neoadjuvant chemoradiotherapy
no surgery after neoadjuvant chemoradiotherapy resulting in lack of pathologic assessment of tumor response
tumor recurrence or distant metastasis during neoadjuvant chemoradiotherapy","China, China, China",2020-02-17
