NCTId,Condition,Brief Title,Completion Date,Intervention Name,Phase,Enrollment,Primary Outcome,Secondary Outcome,Study Type,Lead Sponsor,Eligibility,Location,Study First Post Date
NCT04131530,"Ulcerative Colitis, Artificial Intelligence, Confocal Laser Endomicroscopy",Automatic Evaluation of Inflammation Activity in Ulcerative Colitis Using pCLE With Artificial Intelligence,,The diagnosis of Artificial Intelligence and endoscopist,Unaddressed,60,"The primary outcome is to test the diagnostic accuracy, sensitivity, specificity, PPV, NPV of the Artificial Intelligence for evaluation of inflammation activity of UC on pCLE examination.","The secondary outcome is to compare the diagnosis efficiency (including diagnostic accuracy, sensitivity, specificity, PPV, NPV ) between Artificial Intelligence and endoscopists.",Observational,,"Inclusion Criteria:

aged between 18 and 80; diagnosed as UC

Exclusion Criteria:

Patients under conditions unsuitable for performing CLE including coagulopathy , impaired renal or hepatic function, pregnancy or breastfeeding, and known allergy to fluorescein sodium; Inability to provide informed consent",China,2019-10-18
NCT05322993,Colonic Polyp,Improving Polyp Detection Rate by Artificial Intelligence in Colonoscopy,2023-12-31,"GI Genius, Standard white light colonoscope",Not Applicable,4500,"Evaluate the PDR with and without the use of GI Genus artificial intelligence, Evaluate if there is an improved PDR after the use of AI","To evaluate if the withdrawal time is influenced by the use of artificial intelligence, To evaluate if there are more registered complications with the use of AI",Interventional,,"Inclusion Criteria:

Patients coming to outpatient clinics to perform colonoscopies

Exclusion Criteria:

Total colectomy
Reservation against registration in Gastronet, the national quality register for colonoscopy in Norway","Norway, Norway, Norway",2022-04-12
NCT04636996,"Coronary Heart Disease, Artificial Intelligence, Sleep Apnea",Effects of AI Assisted Follow-up Strategy on Secondary Prevention in CABG Patients,2022-12-31,artificial intelligence assisted follow-up,Not Applicable,200,The average heart rate during the first 35 days postoperatively,"It includes duration of falling asleep, light sleep, and deep sleep period, The average pulse oxygen saturation during the sleep will be evaluated by the sleep monitor device automatically., The pulse oxygen saturation during the sleep will be recorded by the sleep monitor device and the minimum pulse oxygen saturation will be analyzed., It will be evaluated with the visual analogue scale from 0 to 10. Zero is the lowest level of pain and 10 is the highest level of pain., It will be evaluated with Morisky Medication Adherence Scale (MMAS-4). The patients will receive four questions, which are answered by Yes or No ((Yes=0 and No=1) through the scoring system. Zero is the lowest level of medication adherence and 4 is the highest level of medication adherence., It is defined as re-admission between discharge to 35 days after surgery., refers to the incidence of death from the day of surgery to the end of the trial, regardless of the cause., It refers to the total medical expenses for CABG surgery and the following follow-up process.",Interventional,,"Inclusion Criteria:

Age between 18-70, male or female
Received isolated CABG procedure due to coronary artery disease
Having a smartphone and are willing to cooperate
Signing written informed consent

Exclusion Criteria:

Patients undergoing CABG + valve replacement surgery
Postoperative hospital stays more than 10 days (Due to limited postoperative follow-up time and unstable condition such as incision infection, angina, etc.)
Patients with lung, liver, and kidney failure (Due to organ dysfunction which needs more professional health care and not suitable for this trial)
Patients with Urinary system diseases (Getting up during sleep, which will interfere with sleep monitoring)
Patients mentally or legally disabled
Breastfeeding or pregnant women
End-stage disease, estimated survival time is less than 3 months
Participate in other perioperative intervention studies at the same time",China,2020-11-19
NCT05981950,"Artificial Intelligence, Retinal Diseases",Real-world of AI in Diagnosing Retinal Diseases,2029-08-01,artificial intelligence algorithm,Unaddressed,100000,"We used the receiver operating characteristic (ROC) curve and area under curve to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used sensitivity and specificity to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used positive predictive value and negative predictive value to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used F1 score to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases.",,Observational,,"Inclusion Criteria:

fundus photography around 45° field which covers optic disc and macula
complete identification information

Exclusion Criteria:

insufficient information for diagnosis",China,2023-08-08
NCT04337229,"Newborn, Comfort, Nursing, Artificial Intelligence",Evaluation of Comfort Behavior Levels of Newborns With Artificial Intelligence Techniques,,Artifical intelligent,Not Applicable,1000,"Images will be taken to transfer behaviors of newborns to the computer. Attention will be paid to making face and body movements visible while taking the image.The camera will take 12 hours of view of each newborn.However, this period can be shortened as a result of preliminary work.",The images of the newborn will be transferred to the computer. The images will be processed by a specialist on computer using artificial intelligence techniques.,Interventional,,"Inclusion Criteria:

Parents' acceptance of their baby's participation in the study
Having a baby born at 24-42 weeks

Exclusion Criteria:

Having a baby born before 24 weeks of gestation or after 42 weeks of gestation.
Has received analgesic, muscle relaxant or sedative drug treatment that may affect comfort and behavior (last 24 hours)
Newborn has serious neurological damage",,2020-04-07
NCT05513638,the Application of Artificial Intelligence in the Diagnosis of Prostate Cancer,Artificial Intelligence-Based Computer-Aided Diagnosis of Prostate Cancer,2026-08-22,the clinical use of artificial intelligence in the diagnosis of prostate cancer,Unaddressed,2000,"Biopsy or surgery confirmed newly-diagnosed prostate cancer and clinically significant prostate cancer will serve as our primary outcome. Details of follow up and disease progression for a period of two years following mp-MRI will also be collected. For patients with no suspicious lesions on mp-MRI or biopsy-negative, follow-up prostatic specific antigen for a period of two years will also be collected.","surgery confirmed T and N staging of prostate cancer, positive rate of prostate biopsy in each arm, The total reviewing time of radiologists will be measured in this aim. The reviewing time will be defined as the time from initiation of interpretating prostate mp-MRI to the time the radiologists finish reviewing and assigning a PI-RADS score.",Observational,,"Inclusion Criteria:

Clinical suspicious of prostate cancer, presenting with an elevated prostatic specific antigen and/or abnormal digital rectal examination

Exclusion Criteria:

(1) <60 years of age; (2) a previous surgery, radiotherapy or drug therapy for prostate cancer (interventions for benign prostatic hyperplasia or bladder outflow obstruction were deemed acceptable); (3) incomplete mp-MRI examination or artifacts of the images.",China,2022-08-24
NCT04294355,"Colon Adenoma, Colon Polyp",Artificial Intelligence-assisted Colonoscopy on Detection of Missed Proximal Lesions,2022-04-15,"Artificial intelligence-Assisted colonoscopy, Conventional colonoscopy",Not Applicable,216,The proportion of patients with missed adenomas detected in the second examination only,"The proportion of patients with missed adenomas detected in the second examination only, The proportion of patients with at least one adenoma, The proportion of patients with at least one polyp",Interventional,,"Inclusion Criteria:

All adult patients, aged 40 or above, undergoing outpatient colonoscopy in the participating centers will be recruited

Exclusion Criteria:

history of inflammatory bowel disease
history of colorectal cancer
previous bowel resection (apart from appendectomy)
Peutz-Jeghers syndrome, familial adenomatous polyposis or other polyposis syndromes
bleeding tendency or severe comorbid illnesses for which polypectomy is considered unsafe.","China, Singapore, Vietnam",2020-03-04
NCT04138771,"Cataract, Postoperative Complications, Artificial Intelligence",Validation of an Artificial Intelligence System for Postoperative Management of Cataract Patients,2020-03-01,An artificial intelligence system for postoperative management of cataract patients,Not Applicable,300,,,Interventional,,"Inclusion Criteria:

Patients who had surgery of cataract extraction combined with introcular lens implantation.
Patients should be aware of the contents and signed for the informed consent.",China,2019-10-24
NCT05807737,Ultrasound Imaging,A Study to Assess the Accuracy of Artificial Intelligence for Ultrasound-guided Regional Anesthesia,2020-11-15,Ultrasound scanning with artificial intelligence,Unaddressed,40,Residents will scan the 40 volunteers (20 male and 20 female) using the artificial intelligence software until obtaining 100% scan success which means all region-related key anatomical landmarks are identified and color-overlayed correctly. The accuracy of key anatomical landmarks will be evaluated by 2 independent experts in the field of regional anesthesia.,"During the scanning, the volunteer's body mass index, gender, and age information will be collected. The accuracy of artificial intelligence software will be evaluated with the collected demographic information in order to learn the difference in accuracy.",Observational,,"Inclusion Criteria:

Volunteers over the age of 18
Able to accept and sign the Informed Consent Form before participating in the study

Exclusion Criteria:

Volunteers below the age of 18
Unwilling to accept or having psychiatric/neurological diseases to sign an Informed Consent Form before participating in the study
Inability to lie flat
Anatomical deformity in the selected regions",Turkey,2023-04-11
NCT04126265,"Artificial Intelligence, Colonoscopy",Artificial Intelligence-assisted Colonoscopy for Detection of Colon Polyps,2020-08-31,Artificial intelligence assisted colonoscopy,Not Applicable,560,"In each group, the number of patients with small polyps was detected as a percentage of the total number of patients.","Number of polyps found in each group., Average size of all polyps detected in each group., Morphological classification of all polyps detected in each group.",Interventional,,"Inclusion Criteria:

Chinese population aged 18-80 years old; Patients voluntarily signed informed consent form; In accordance with the indications of colonoscopy.

Exclusion Criteria:

(IBD) history of inflammatory bowel disease; History of colorectal surgery; Previous failed colonoscopy; Polyposis syndrome; Highly suspected colorectal cancer (CRC)",China,2019-10-15
NCT04289064,"Retinal Diseases, Artificial Intelligence",Artificial Intelligence System for Assessing Image Quality of Fundus Images and Its Effects on Diagnosis,2020-07-01,Taking a fundus image,Unaddressed,300,"Area under the receiver operating characteristic curves, sensitivity, specificity, positive and negative predictive values, accuracy","Cohen's kappa coefficient, P value and other related statistic results",Observational,,"Inclusion Criteria:

Patients should be aware of the contents and signed for the informed consent.

Exclusion Criteria:

1. Patients who cannot cooperate with a photographer such as some paralytics, the patients with dementia and severe psychopaths.
2. Patients who do not agree to sign informed consent.",China,2020-02-28
NCT04314180,"Anterior Segment Disorders, Artificial Intelligence",Artificial Intelligence System for Assessing Image Quality of Slit-Lamp Images and Its Effects on Diagnosis,2020-07-01,Taking slit-lamp images,Unaddressed,300,"Area under the receiver operating characteristic curves, sensitivity, specificity, positive and negative predictive values,accuracy","Cohen's kappa coefficient, P value and other related statistic results",Observational,,"Inclusion Criteria:

Patients should be aware of the contents and signed for the informed consent.

Exclusion Criteria:

1. Patients who cannot cooperate with a photographer such as some paralytics, the patients with dementia and severe psychopaths.
2. Patients who do not agree to sign informed consent.",China,2020-03-19
NCT04442607,Polyp of Colon,Clinical vAliDation of ARTificial Intelligence in POlyp Detection,2022-11-29,artificial intelligence image processing,Not Applicable,856,,,Interventional,,"Inclusion Criteria:

Age ≥40 years
Referral for screening, surveillance or diagnostic colonoscopy
Able to give informed consent by the patient or by a legal representative

Exclusion criteria for study inclusion

<40 years old
Referral for a therapeutic colonoscopy
Known Lynch syndrome or Familial Adenomatous Polyposis syndrome
Any contraindication for colonoscopy or biopsies of the colon
Uncontrolled coagulopathy
Confirmed diagnosis of inflammatory bowel disease prior to the scheduled colonoscopy
Short bowel or ileostomy
Pregnancy

Exclusion criteria for study analysis

Colonic inflammation of > 30cm during colonoscopy
Incomplete colonoscopy for any reason
Incomplete recording or technical failure of the artificial intelligence system",Belgium,2020-06-22
NCT05942859,Pulmonary Hypertension (Diagnosis),Applying Artificial Intelligence to the 12 Lead ECG for the Diagnosis of Pulmonary Hypertension: an Observational Study,,Artificial Intelligence and Machine Learning technology,Unaddressed,600,The investigators will calculate the area under the receiver operating characteristic curve (AUROC) for PH diagnosis by artificial intelligence technology and compare this to RHC (the gold standard),"The investigators will assess the diagnostic test accuracy of Artificial Intelligence technology to categorise participant ECGs according to Pulmonary Hypertension sub-type and compare this to standard clinical assessment, The investigators will calculate the area under the receiver operating characteristics curve (AUROC) for mortality as predicted by Artificial Intelligence technology, The investigators will calculate the area under the receiver operating characteristics curve for morbidity as predicted by Artificial Intelligence technology and compare this to current measures (NYHA functional class, 6MWT, Pulmonary function tests)",Observational,,"Inclusion Criteria:

prospective cohort: From July 2023, all patients aged 18 or over who are referred to the Bath Pulmonary Hypertension shared care service with clinical suspicion of PH and, who through their routine clinical care, undergo a RHC and 12-lead ECG.
Retrospective cohort: All patients aged 18 or over who were referred to the local Pulmonary Hypertension shared care service between 2007 and June 2023, and through their routine clinical care, have undergone RHC within a year of a 12-lead ECG. This cohort will also include patients who are deceased.

Exclusion Criteria:

Patient's less than 18 years-old
Patients who do not give valid consent (except deceased patients; REC approved)
Patients who have not undergone RHC to assess for PH
Patients who have not had an ECG within 12 months of their RHC",United Kingdom,2023-07-12
NCT04515173,"Artificial Intelligence, Mental Illness",Artificial Intelligence in Mental Illness Diagnosis and Treatment,2023-12-01,Artificial intelligence diagnosis and treatment assistance system,Not Applicable,4000,"The proportion that the system correctly determines people who are actually sick to be true., The proportion that the system correctly determines people who are actually disease-free to be true negative., End of the period reached the total number of clinically cured patients / total number of all patients involved in the study, Total number of patients with recurrence or recurrence of symptoms/total number of patients involved in the study","The degree of patient satisfaction with the system, The score of clinical global impressions scale(CGI), The score of social disability screening schedule(SDSS）, The degree of doctors' satisfaction with the system",Interventional,,"Inclusion Criteria:

Community high-risk groups and institutional groups.
According to the ICD-11 diagnostic guidelines of anxiety-related disorders, depression-related disorders, addiction-related disorders, compulsive-related disorders diagnosis,
age 18-60 years old,
skilled in the operation of computers or smartphones,
language, reading ability is normal,
willing to participate in the project and sign informed consent study.

Exclusion Criteria:

The symptoms of mental illness are severe and require hospitalization, or the patient is unable to complete the required assessment examination and treatment.
Those who have a higher risk of self-injury or suicide.
People with severe physical illness, central system disease, or substance abuse.
Receive physical therapy at the same time.",,2020-08-17
NCT05178095,"Polyp of Colon, Adenoma Colon, Gastrointestinal Neoplasms",Artificial Intelligence in Colonic Polyp Detection,2023-06-01,"Artificial intelligence, No Artificial Intelligence",Not Applicable,250,Adenoma detection rate,"Adenomas per colonoscopy, The number of minutes required to complete the colonoscopy withdrawal",Interventional,,"Inclusion Criteria:

All patients without IBD referred for colonoscopy

Exclusion Criteria:

Age < 40 years
Not willing to participate",Sweden,2022-01-05
NCT05350228,Artificial Intelligence,Accuracy of Artificial Intelligence in Evaluation of the Relationship Between Mandibular Third Molar and Mandibular Canal on CBCT,,CNN based model,Unaddressed,50,Accuracy of the deep learning model in automatic evaluation of mandibular third molar teeth and mandibular canal relationship.,,Observational,,"Inclusion Criteria:

• CBCT Scans showing Mandibular third molar of patients aging from 25 to 65 years old

The FOV should clearly show the third molar completely with its roots and the IAN.
Voxel size of 0.2mm.
Mandibular third molars. Absence of artifacts, dental implants in the adjacent teeth.

Exclusion Criteria:

• CBCT images of sub-optimal quality or artifacts/high scatter interfering with proper assessment.",Egypt,2022-04-28
NCT05340140,Artificial Intelligence,The Accuracy of Detection of Artificial Intelligence Second Mesio-buccal Canal of Maxillary First Molars on CBCT Images,,deep learning model,Unaddressed,50,detection of MB2 on CBCT images of maxillary first molars using deep learning model,,Observational,,"Inclusion Criteria:

• CBCT scans showing erupted maxillary 1st molar.

Vovel size not exceeding 0.1mm.
Maxillary molars showing complete root formation.
Carious or Non-carious tooth.

Exclusion Criteria:

• Maxillary first molars with developmental anomalies, external or internal root resorption, root canal calcification, previous root canal treatment, post restorations, and/or root caries.

CBCT images of sub-optimal quality or artifacts / high scatter interfering with proper assessment.",Egypt,2022-04-21
NCT03917017,Liver Resection,The Evaluation of Surgical Decisions and Prognosis of the Radiomics and Watson Artificial Intelligence in Patients With Hepatocellular Carcinoma,2024-12-31,Radiomics and Watson artificial intelligence,Not Applicable,100,Survival after hepatectomy,Survival time without tumor after HCC resection,Interventional,,"Inclusion Criteria:

18 years≤ Age ≤80 years
Compling with the diagnosis criteria of complex hepatic carcinoma.
Primary hepatic carcinoma without intrahepatic or extrahepatic extensive cancer metastasis, the metastatic hepatic carcinoma whose primary focal has been controlled
Preoperative liver function is Child - Pugh grade A or B.
The patients are volunteered for the study.

Exclusion Criteria:

Patients with mental illness.
Patients can't tolerate the operation owe to a variety of basic diseases (such as severe cardiopulmonary insufficiency, renal insufficiency, cachexia and blood system diseases, etc.)
The patients refused to take part in the study.
There are other co-existed malignant tumors.
Benign liver diseases.
Indocyanine green allergy",China,2019-04-16
NCT04425941,Software Analysis on Polyp Histology Prediction,Polyp Artificial Intelligence Study,2020-05-31,artificial intelligence diagnosis,Unaddressed,373,Artificial intelligence software diagnosis in comparison with the polyp histology,,Observational,,"Inclusion Criteria:

endoscopic diagnosis of colorectal polyp

Exclusion Criteria:

colonoscopy result without polyps or IBD diagnosis",,2020-06-11
NCT05244278,Artificial Intelligence,Artificial Intelligence (AI) Assisted Real-time Adenoma Detection During Colonoscopies,2025-01-01,Detection and classification of polyps by Artificial Intelligence Medtronic-GI genius,Not Applicable,744,"To assess whether the GI genius platform can significantly increase the ADR during live colonoscopies, compared to standard colonoscopy among high-risk patients.The ADR is defined as the proportion of patients undergoing GI genius-assisted/standard colonoscopy in whom superior or equal to 1 histopathologically proven adenoma or carcinoma is identified. We will use the histopathology outcomes of the resected polyps as the ground truth to calculate the ADR.","The probability of an increase in the ADR among the trainees and expert endoscopists when using GI genius AI-assisted colonoscopy compared to standard colonoscopies., Proximal ADR is defined as the prevalence of patients with at least 1 adenoma detected proximal to the splenic flexure, Sessile serrated lesions (SSL) detection rate as the proportion of patients colonoscopy in whom superior or equal to 1 sessile serrated lesion (SSL) is identified, Mean number of adenomas per colonoscopy (APC) defined as the total number of adenomas divided by the number of colonoscopies performed, Adenomas per positive index colonoscopy (APPC) defined as the total number of adenomas divided by the total of colonoscopies where at least 1 adenoma is detected, Sessile serrated lesion per Colonoscopy (SSLPC), defined as the total number of histologically confirmed sessile serrated lesions resected divided by the total number of colonoscopies, Advanced lesion detection rate (ALDR), defined as the proportion of colonoscopies for which the number of histopathologically proven adenoma >10mm was at least 1., To evaluate the agreement between the surveillance intervals based on the optical diagnosis of polyps with the GI genius and the pathology-based recommendation according to the current guidelines., Proportion neoplastic and non-neoplastic polyps (i.e., SSLs, hyperplastic polyps, and high-grade dysplasia and carcinomas (overall and according to size, location, and morphology), CADe utilization rate (when available in the room). Since we can't directly assess the CADe utilization rate without revealing the ongoing trial to the endoscopists, we will rely on two voluntary self-reported measures and a partial objective measure.",Interventional,,"Inclusion Criteria:

indication of undergoing a screening, surveillance, or diagnostic colonoscopy
Age 45-89 years

Exclusion Criteria:

Patients undergoing emergency colonoscopy and patients with a known familial polyposis syndrome or a known inflammatory bowel disease",Canada,2022-02-17
NCT04682821,"Gastroscopy, Training, Artificial Intelligence",The Research of AI Assistant Gastroscope Training,2021-06-26,Artificial intelligence assistant system,Not Applicable,288,"Using a professional gastroscopy operation scoring scale, the full score is 100 points, and the score is divided into small items. In this experiment, the effect of training between the two groups was compared by comparing the scores of gastroscopy operation in the experimental group and the control group.","Evaluate the gastroscope operation videos retained by each physician during the examination, and calculate the coverage of 26 parts of the gastric mucosa in the experimental group and the control group during the examination. The calculation method is: the coverage rate of the blind area of the gastroscopy = the actual number of parts covered by the examination/26 parts of the stomach x 100%., the difference between the theoretical test score after the training and the theoretical test score before the training, the calculation method: the theoretical test score after the training-the theoretical test score before the training., An AI assistant group fills out a questionnaire after training, and determines the satisfaction with AI assistant training through a grading method., the detection rate of lesions in the experimental group and the control group by gastroscopy. Calculation method = number of gastroscopes with detected lesions/total number of gastroscopes completed by beginner physicians x 100%.",Interventional,,"Novice endoscopists：

Inclusion Criteria:

Males or females who are over 18 years old;
After qualified medical education and obtained the Certificate of Chinese medical practitioner;

Exclusion Criterial:

A doctor who has already been trained in gastroenteroscopy;
Doctors without qualified medical education and didn't obtaine the Certificate of Chinese medical practitioner;
The researcher believes that the subjects are not suitable for participating in clinical trials.",China,2020-12-24
